tim_day,username,start_date,end_date,country,site,department,division,function
2025-05-01,user_0441,2024-06-05,,Mexico,MLM,Operations,Shipping,Representative
2025-08-01,user_0753,2019-05-05,,Mexico,MLM,Last Mile,Shipping,Manager
2025-04-01,user_0761,2019-05-01,,Colombia,MCO,Last Mile,Shipping,Representative
2025-06-01,user_0395,2018-07-21,,Chile,MLC,Fulfillment,Shipping,Analyst
2025-11-01,user_0690,2023-07-09,2025-11-04,Argentina,MLA,Performance,Advertising,Account Manager
2025-03-01,user_0603,2018-05-01,,Brazil,MLB,GMV Analytics,Marketplace,Coordinator
2025-12-01,user_0415,2021-11-04,,Mexico,MLM,Operations,Shipping,Coordinator
2025-04-01,user_0186,2022-10-12,,Brazil,MLB,Product Management,Products,Researcher
2025-06-01,user_0774,2024-09-02,,Uruguay,MLU,GMV Analytics,Marketplace,Senior Analyst
2025-02-01,user_0368,2021-10-27,,Brazil,MLB,Publisher,Advertising,Senior Analyst
2025-06-01,user_0302,2023-06-28,,Mexico,MLM,Operations,Shipping,Manager
2025-10-01,user_0106,2020-12-21,,Argentina,MLA,UX Research,Products,Product Manager
2025-08-01,user_0214,2023-10-29,,Mexico,MLM,Buyers Experience,Marketplace,Manager
2025-08-01,user_0635,2021-10-16,,Mexico,MLM,HR Business Partner,People,Recruiter
2025-08-01,user_0751,2021-03-24,,Brazil,MLB,Fraud Prevention,Fintech,Analyst
2025-01-01,user_0607,2019-08-18,,Chile,MLC,Performance,Advertising,Account Manager
2025-01-01,user_0712,2023-01-31,2025-02-27,Argentina,MLA,Last Mile,Shipping,Supervisor
2025-09-01,user_0215,2024-11-30,,Mexico,MLM,Insurance,Fintech,Senior Analyst
2025-12-01,user_0768,2019-03-16,,Peru,MPE,Performance,Advertising,Account Manager
2025-07-01,user_0761,2019-05-01,,Colombia,MCO,Last Mile,Shipping,Representative
2025-04-01,user_0467,2019-04-10,,Mexico,MLM,Product Design,Products,Product Analyst
2025-04-01,user_0481,2021-06-06,,Uruguay,MLU,Fraud Prevention,Fintech,Manager
2025-12-01,user_0060,2022-04-18,,Argentina,MLA,FP&A,Finance,Senior Analyst
2025-10-01,user_0611,2024-10-12,,Brazil,MLB,Catalog,Marketplace,Senior Analyst
2025-09-01,user_0441,2024-06-05,,Mexico,MLM,Operations,Shipping,Representative
2025-05-01,user_0451,2021-11-05,,Uruguay,MLU,Operations,Shipping,Analyst
2025-11-01,user_0758,2024-04-07,,Brazil,MLB,Credit,Fintech,Senior Analyst
2025-01-01,user_0062,2021-12-11,,Colombia,MCO,Talent Acquisition,People,Manager
2025-06-01,user_0147,2021-03-31,,Brazil,MLB,Credit,Fintech,Senior Analyst
2025-07-01,user_0678,2019-09-24,,Peru,MPE,Logistics,Shipping,Coordinator
2025-01-01,user_0703,2022-07-05,,Mexico,MLM,Product Design,Products,UX Designer
2025-06-01,user_0179,2019-03-01,,Brazil,MLB,Sellers Growth,Marketplace,Manager
2025-04-01,user_0496,2021-09-14,,Brazil,MLB,Sellers Growth,Marketplace,Senior Analyst
2025-07-01,user_0178,2018-06-28,,Venezuela,MLV,Brand,Advertising,Account Manager
2025-06-01,user_0342,2022-09-14,,Argentina,MLA,Sellers Growth,Marketplace,Lead
2025-11-01,user_0276,2022-05-13,,Ecuador,MEC,Credit,Fintech,Specialist
2025-06-01,user_0723,2021-06-02,,Argentina,MLA,Product Design,Products,Product Manager
2025-05-01,user_0787,2018-06-03,,Peru,MPE,Buyers Experience,Marketplace,Analyst
2025-12-01,user_0285,2023-07-24,,Argentina,MLA,Security,IT,Analyst
2025-07-01,user_0509,2024-04-02,,Mexico,MLM,Product Analytics,Products,UX Designer
2025-01-01,user_0209,2020-09-13,,Peru,MPE,Brand,Advertising,Account Manager
2025-02-01,user_0799,2022-11-22,,Brazil,MLB,Insurance,Fintech,Risk Analyst
2025-03-01,user_0484,2018-12-02,,Argentina,MLA,Payments,Fintech,Senior Analyst
2025-08-01,user_0166,2025-07-06,,Brazil,MLB,Buyers Experience,Marketplace,Coordinator
2025-11-01,user_0115,2019-07-15,,Venezuela,MLV,Credit,Fintech,Specialist
2025-10-01,user_0010,2022-06-09,,Uruguay,MLU,Compliance,Risk & Compliance,Senior Analyst
2025-10-01,user_0400,2023-03-17,,Brazil,MLB,GMV Analytics,Marketplace,Senior Analyst
2025-11-01,user_0240,2018-12-02,,Venezuela,MLV,Infrastructure,IT,Manager
2025-03-01,user_0285,2023-07-24,,Argentina,MLA,Security,IT,Analyst
2025-09-01,user_0063,2022-11-21,,Uruguay,MLU,Infrastructure,IT,DevOps Engineer
2025-07-01,user_0636,2023-03-02,,Mexico,MLM,Buyers Experience,Marketplace,Coordinator
2025-02-01,user_0183,2022-02-16,,Argentina,MLA,Security,IT,Analyst
2025-11-01,user_0717,2021-11-08,,Brazil,MLB,Catalog,Marketplace,Coordinator
2025-04-01,user_0101,2023-09-11,,Brazil,MLB,DevOps,IT,Analyst
2025-03-01,user_0649,2023-04-13,,Argentina,MLA,Tax,Finance,Financial Analyst
2025-07-01,user_0051,2021-05-17,,Mexico,MLM,Fraud Prevention,Fintech,Senior Analyst
2025-07-01,user_0050,2022-07-31,,Mexico,MLM,Product Design,Products,Product Analyst
2025-12-01,user_0352,2023-01-16,,Brazil,MLB,Data Engineering,IT,Software Engineer
2025-05-01,user_0798,2020-08-25,,Brazil,MLB,Credit,Fintech,Manager
2025-01-01,user_0093,2022-11-21,,Mexico,MLM,Last Mile,Shipping,Coordinator
2025-04-01,user_0030,2023-08-22,,Mexico,MLM,Digital Marketing,Marketing,Analyst
2025-08-01,user_0263,2021-09-13,,Mexico,MLM,AML,Risk & Compliance,Manager
2025-12-01,user_0634,2024-03-02,,Chile,MLC,Product Management,Products,Researcher
2025-04-01,user_0483,2021-09-20,,Colombia,MCO,Product Management,Products,Product Analyst
2025-07-01,user_0790,2020-04-06,,Colombia,MCO,Last Mile,Shipping,Analyst
2025-07-01,user_0751,2021-03-24,,Brazil,MLB,Fraud Prevention,Fintech,Analyst
2025-10-01,user_0184,2023-07-31,,Argentina,MLA,L&D,People,Recruiter
2025-09-01,user_0570,2023-07-31,,Chile,MLC,Agency,Advertising,Senior Analyst
2025-01-01,user_0177,2018-10-05,,Brazil,MLB,Logistics,Shipping,Supervisor
2025-09-01,user_0242,2024-07-16,,Brazil,MLB,DevOps,IT,Data Engineer
2025-12-01,user_0346,2025-07-29,,Colombia,MCO,Product Design,Products,Product Analyst
2025-08-01,user_0761,2019-05-01,,Colombia,MCO,Last Mile,Shipping,Representative
2025-03-01,user_0428,2022-08-06,,Mexico,MLM,Compliance,Risk & Compliance,Senior Analyst
2025-02-01,user_0515,2018-05-18,,Chile,MLC,Operations,Shipping,Supervisor
2025-05-01,user_0525,2020-10-19,,Colombia,MCO,Accounting,Finance,Senior Analyst
2025-01-01,user_0692,2019-09-02,,Mexico,MLM,Fraud Prevention,Fintech,Analyst
2025-12-01,user_0785,2022-10-20,,Argentina,MLA,Data Engineering,IT,Analyst
2025-12-01,user_0325,2025-07-16,,United States,USA,Data Engineering,IT,Analyst
2025-05-01,user_0150,2019-03-10,,United States,USA,Catalog,Marketplace,Manager
2025-10-01,user_0272,2022-04-03,,Brazil,MLB,Product Design,Products,Product Manager
2025-01-01,user_0365,2021-07-26,,Argentina,MLA,HR Business Partner,People,Recruiter
2025-05-01,user_0289,2020-01-07,,Argentina,MLA,Buyers Experience,Marketplace,Lead
2025-04-01,user_0548,2018-01-01,,Argentina,MLA,Last Mile,Shipping,Coordinator
2025-08-01,user_0247,2024-01-10,,Argentina,MLA,Buyers Experience,Marketplace,Manager
2025-07-01,user_0482,2025-05-07,,Mexico,MLM,DevOps,IT,Software Engineer
2025-11-01,user_0733,2018-04-03,,Brazil,MLB,Buyers Experience,Marketplace,Senior Analyst
2025-01-01,user_0332,2024-05-17,,Mexico,MLM,SOX Compliance,Internal Audit,Senior Auditor
2025-02-01,user_0731,2018-09-26,,Venezuela,MLV,Tax,Finance,Finance Manager
2025-06-01,user_0596,2020-11-25,,Mexico,MLM,Operations,Shipping,Coordinator
2025-01-01,user_0781,2022-03-22,,Brazil,MLB,Logistics,Shipping,Manager
2025-06-01,user_0384,2020-12-21,2025-11-06,Peru,MPE,Fraud Prevention,Fintech,Risk Analyst
2025-06-01,user_0371,2024-04-20,,Brazil,MLB,Compensation,People,HR Business Partner
2025-08-01,user_0500,2024-07-14,,Peru,MPE,Catalog,Marketplace,Lead
2025-12-01,user_0183,2022-02-16,,Argentina,MLA,Security,IT,Analyst
2025-01-01,user_0659,2018-09-09,2025-04-13,Mexico,MLM,Product Analytics,Products,Product Analyst
2025-07-01,user_0285,2023-07-24,,Argentina,MLA,Security,IT,Analyst
2025-09-01,user_0211,2024-05-24,,Colombia,MCO,Brand Strategy,Marketing,Analyst
2025-12-01,user_0094,2019-10-21,,Brazil,MLB,Last Mile,Shipping,Analyst
2025-10-01,user_0066,2022-09-23,,Argentina,MLA,Sellers Growth,Marketplace,Manager
2025-06-01,user_0603,2018-05-01,,Brazil,MLB,GMV Analytics,Marketplace,Coordinator
