username,date_month,user_classification,is_data_user
user_0587,2025-01,Advanced,True
user_0798,2025-11,Intermediate,True
user_0730,2025-12,Basic,True
user_0084,2025-02,Advanced,True
user_0649,2025-09,Sleeper,False
user_0364,2025-06,Basic,True
user_0669,2025-07,Intermediate,True
user_0526,2025-11,Sleeper,False
user_0209,2025-03,Champion,True
user_0384,2025-04,Basic,True
user_0339,2025-09,Champion,True
user_0072,2025-10,Beginner,True
user_0071,2025-02,No Use,False
user_0115,2025-09,No Use,False
user_0030,2025-01,Advanced,True
user_0005,2025-05,Intermediate,True
user_0157,2025-07,Sleeper,False
user_0657,2025-07,Basic,True
user_0609,2025-07,No Use,False
user_0526,2025-05,Basic,True
user_0478,2025-12,Advanced,True
user_0520,2025-04,Intermediate,True
user_0053,2025-10,Intermediate,True
user_0733,2025-03,No Use,False
user_0493,2025-09,Beginner,True
user_0704,2025-04,Intermediate,True
user_0428,2025-06,Intermediate,True
user_0047,2025-02,Basic,True
user_0113,2025-01,No Use,False
user_0246,2025-03,No Use,False
user_0385,2025-12,No Use,False
user_0488,2025-09,Beginner,True
user_0539,2025-10,Intermediate,True
user_0281,2025-09,Advanced,True
user_0623,2025-09,Sleeper,False
user_0426,2025-07,Basic,True
user_0549,2025-12,No Use,False
user_0766,2025-01,Intermediate,True
user_0059,2025-12,Intermediate,True
user_0316,2025-03,Beginner,True
user_0486,2025-05,Sleeper,False
user_0718,2025-10,Intermediate,True
user_0521,2025-06,No Use,False
user_0107,2025-03,Basic,True
user_0761,2025-07,Intermediate,True
user_0467,2025-10,No Use,False
user_0031,2025-12,Intermediate,True
user_0101,2025-05,Intermediate,True
user_0300,2025-05,Advanced,True
user_0305,2025-05,Basic,True
user_0225,2025-08,Beginner,True
user_0752,2025-10,Intermediate,True
user_0265,2025-01,No Use,False
user_0380,2025-11,Advanced,True
user_0259,2025-06,Sleeper,False
user_0497,2025-04,Intermediate,True
user_0664,2025-09,Beginner,True
user_0329,2025-01,Basic,True
user_0191,2025-06,Advanced,True
user_0030,2025-10,Advanced,True
user_0791,2025-08,Advanced,True
user_0278,2025-10,Basic,True
user_0100,2025-06,Intermediate,True
user_0018,2025-04,Intermediate,True
user_0134,2025-09,No Use,False
user_0432,2025-04,Basic,True
user_0375,2025-08,Basic,True
user_0381,2025-12,Basic,True
user_0751,2025-04,No Use,False
user_0255,2025-07,Basic,True
user_0100,2025-04,Basic,True
user_0763,2025-07,Basic,True
user_0537,2025-05,No Use,False
user_0737,2025-08,Basic,True
user_0502,2025-01,Beginner,True
user_0544,2025-02,Basic,True
user_0695,2025-10,Champion,True
user_0444,2025-12,Advanced,True
user_0452,2025-11,Advanced,True
user_0154,2025-02,Beginner,True
user_0270,2025-11,Beginner,True
user_0076,2025-02,Basic,True
user_0334,2025-09,Basic,True
user_0401,2025-09,Intermediate,True
user_0213,2025-11,Sleeper,False
user_0785,2025-07,Intermediate,True
user_0694,2025-02,Intermediate,True
user_0296,2025-04,No Use,False
user_0250,2025-12,No Use,False
user_0137,2025-05,Basic,True
user_0475,2025-04,Intermediate,True
user_0219,2025-10,Intermediate,True
user_0319,2025-08,Advanced,True
user_0326,2025-07,Advanced,True
user_0088,2025-02,Beginner,True
user_0413,2025-10,No Use,False
user_0123,2025-01,Beginner,True
user_0256,2025-06,No Use,False
user_0621,2025-12,Champion,True
user_0318,2025-10,Beginner,True
user_0775,2025-04,Intermediate,True
user_0351,2025-03,Intermediate,True
user_0374,2025-07,No Use,False
user_0245,2025-06,Advanced,True
user_0799,2025-05,Beginner,True
user_0109,2025-01,Basic,True
user_0758,2025-04,Basic,True
user_0735,2025-02,Basic,True
user_0636,2025-09,Intermediate,True
user_0619,2025-10,No Use,False
user_0328,2025-01,Beginner,True
user_0094,2025-05,No Use,False
user_0613,2025-11,Basic,True
user_0116,2025-02,Basic,True
user_0334,2025-02,Basic,True
user_0592,2025-01,Beginner,True
user_0257,2025-01,No Use,False
user_0678,2025-04,Advanced,True
user_0266,2025-02,Beginner,True
user_0246,2025-01,No Use,False
user_0210,2025-09,No Use,False
user_0307,2025-04,Advanced,True
user_0567,2025-04,Intermediate,True
user_0675,2025-12,Sleeper,False
user_0014,2025-02,Beginner,True
user_0629,2025-12,Sleeper,False
user_0219,2025-12,Intermediate,True
user_0098,2025-11,Advanced,True
user_0334,2025-06,Basic,True
user_0225,2025-03,Basic,True
user_0083,2025-01,Basic,True
user_0145,2025-08,Intermediate,True
user_0506,2025-05,Basic,True
user_0611,2025-08,Intermediate,True
user_0229,2025-05,Basic,True
user_0415,2025-05,No Use,False
user_0533,2025-02,No Use,False
user_0069,2025-02,Advanced,True
user_0099,2025-12,Advanced,True
user_0265,2025-08,Intermediate,True
user_0327,2025-06,Beginner,True
user_0565,2025-01,No Use,False
user_0559,2025-11,No Use,False
user_0019,2025-08,Beginner,True
user_0798,2025-05,Intermediate,True
user_0027,2025-04,Intermediate,True
user_0440,2025-01,Advanced,True
user_0586,2025-03,Beginner,True
user_0726,2025-01,Basic,True
user_0276,2025-07,Intermediate,True
user_0545,2025-07,No Use,False
user_0664,2025-04,Basic,True
user_0610,2025-03,Beginner,True
user_0373,2025-03,Beginner,True
user_0462,2025-01,Intermediate,True
user_0661,2025-02,Basic,True
user_0030,2025-12,Advanced,True
user_0212,2025-11,Sleeper,False
user_0259,2025-01,Beginner,True
user_0677,2025-08,Beginner,True
user_0146,2025-08,Sleeper,False
user_0393,2025-07,Beginner,True
user_0394,2025-11,No Use,False
user_0281,2025-04,Advanced,True
user_0432,2025-08,Basic,True
user_0249,2025-01,No Use,False
user_0636,2025-08,Basic,True
user_0150,2025-04,Basic,True
user_0726,2025-07,Basic,True
user_0748,2025-08,No Use,False
user_0644,2025-02,Intermediate,True
user_0126,2025-01,Basic,True
user_0462,2025-05,Advanced,True
user_0500,2025-04,No Use,False
user_0193,2025-04,No Use,False
user_0281,2025-08,Champion,True
user_0150,2025-03,Basic,False
user_0749,2025-09,Sleeper,False
user_0595,2025-12,Intermediate,True
user_0341,2025-02,Sleeper,False
user_0753,2025-07,No Use,False
user_0171,2025-06,Sleeper,False
user_0292,2025-11,No Use,False
user_0702,2025-12,Intermediate,True
user_0184,2025-04,Advanced,True
user_0634,2025-09,Intermediate,True
user_0243,2025-09,Basic,True
user_0437,2025-10,Champion,True
user_0368,2025-06,Intermediate,True
user_0211,2025-12,Basic,True
user_0054,2025-04,Basic,True
user_0470,2025-03,No Use,False
user_0039,2025-12,Sleeper,False
user_0698,2025-12,Beginner,True
user_0634,2025-10,Intermediate,True
user_0759,2025-04,Beginner,True
user_0385,2025-10,No Use,False
user_0596,2025-05,Beginner,True
user_0417,2025-01,Basic,True
user_0733,2025-10,No Use,False
user_0046,2025-04,Basic,True
user_0008,2025-10,Beginner,True
user_0146,2025-05,Advanced,True
user_0617,2025-03,Advanced,True
user_0611,2025-01,Advanced,True
user_0263,2025-06,Advanced,True
user_0272,2025-05,Basic,True
user_0296,2025-10,No Use,False
user_0502,2025-04,Sleeper,False
user_0588,2025-04,Intermediate,True
user_0348,2025-07,Advanced,True
user_0064,2025-12,Sleeper,False
user_0576,2025-12,No Use,False
user_0645,2025-06,Intermediate,True
user_0317,2025-03,Intermediate,True
user_0055,2025-04,Basic,True
user_0757,2025-08,Champion,True
user_0383,2025-02,Advanced,True
user_0777,2025-09,Advanced,True
user_0377,2025-09,Basic,True
user_0091,2025-08,Intermediate,True
user_0216,2025-07,Intermediate,True
user_0021,2025-10,Sleeper,False
user_0450,2025-08,Sleeper,False
user_0140,2025-08,Intermediate,True
user_0489,2025-08,Beginner,True
user_0143,2025-12,Advanced,True
user_0799,2025-01,Beginner,True
user_0614,2025-10,Basic,True
user_0305,2025-11,Intermediate,True
user_0709,2025-06,Beginner,True
user_0437,2025-08,Champion,True
user_0792,2025-03,No Use,False
user_0429,2025-02,Advanced,True
user_0398,2025-11,Basic,True
user_0614,2025-05,Intermediate,True
user_0049,2025-10,Intermediate,True
user_0793,2025-11,Beginner,True
user_0416,2025-09,Basic,True
user_0247,2025-04,Beginner,True
user_0359,2025-12,Basic,True
user_0379,2025-01,Sleeper,False
user_0592,2025-07,Sleeper,False
user_0144,2025-03,Advanced,True
user_0390,2025-06,Beginner,True
user_0547,2025-03,Advanced,True
user_0150,2025-11,Intermediate,True
user_0469,2025-05,Advanced,True
user_0213,2025-12,Sleeper,False
user_0288,2025-08,Basic,True
user_0687,2025-08,Sleeper,False
user_0195,2025-09,Beginner,True
user_0647,2025-03,Sleeper,False
user_0768,2025-07,Beginner,True
user_0564,2025-06,Beginner,True
user_0236,2025-12,Intermediate,True
user_0777,2025-12,Advanced,True
user_0735,2025-06,Intermediate,True
user_0797,2025-06,Sleeper,False
user_0015,2025-08,Beginner,True
user_0792,2025-02,No Use,False
user_0727,2025-08,Intermediate,True
user_0233,2025-04,Basic,True
user_0761,2025-09,Intermediate,True
user_0673,2025-12,Advanced,True
user_0083,2025-11,Sleeper,False
user_0730,2025-05,Intermediate,True
user_0516,2025-06,Sleeper,False
user_0558,2025-09,Intermediate,True
user_0743,2025-06,Beginner,True
user_0266,2025-08,Intermediate,True
user_0660,2025-08,No Use,False
user_0497,2025-05,Advanced,True
user_0497,2025-08,Advanced,True
user_0310,2025-02,Basic,True
user_0678,2025-10,Intermediate,True
user_0125,2025-09,Basic,True
user_0606,2025-07,Basic,True
user_0422,2025-12,Sleeper,False
user_0283,2025-02,Basic,True
user_0123,2025-04,Basic,True
user_0364,2025-01,Basic,True
user_0521,2025-04,Sleeper,False
user_0407,2025-12,Beginner,True
user_0507,2025-11,Beginner,True
user_0600,2025-03,Advanced,True
user_0724,2025-03,No Use,False
user_0256,2025-05,No Use,False
user_0119,2025-10,Advanced,True
user_0469,2025-02,Intermediate,True
user_0341,2025-04,Beginner,True
user_0145,2025-05,Basic,True
user_0223,2025-07,Basic,True
user_0656,2025-04,Intermediate,True
user_0047,2025-05,Beginner,True
user_0164,2025-01,Beginner,True
user_0457,2025-10,Advanced,True
user_0104,2025-03,Beginner,True
user_0671,2025-12,No Use,False
user_0288,2025-06,Basic,True
user_0491,2025-05,Basic,True
user_0265,2025-07,Intermediate,True
user_0249,2025-07,Beginner,True
user_0254,2025-07,Advanced,True
user_0409,2025-07,Intermediate,True
user_0338,2025-07,Sleeper,False
user_0578,2025-01,No Use,False
user_0175,2025-08,Beginner,True
user_0300,2025-11,Advanced,True
user_0731,2025-12,Beginner,True
user_0075,2025-05,No Use,False
user_0727,2025-10,Advanced,True
user_0333,2025-08,Advanced,True
user_0668,2025-10,Beginner,True
user_0279,2025-11,No Use,False
user_0057,2025-02,Intermediate,True
user_0608,2025-08,No Use,False
user_0399,2025-02,No Use,False
user_0021,2025-04,No Use,False
user_0690,2025-07,Basic,True
user_0700,2025-03,Beginner,True
user_0313,2025-07,No Use,False
user_0414,2025-08,Beginner,True
user_0469,2025-07,Advanced,True
user_0060,2025-04,Basic,True
user_0673,2025-01,Champion,True
user_0371,2025-07,Basic,True
user_0728,2025-02,Beginner,True
user_0551,2025-02,Beginner,True
user_0665,2025-09,Intermediate,True
user_0775,2025-02,Beginner,True
user_0132,2025-03,Beginner,True
user_0427,2025-12,Champion,True
user_0204,2025-03,No Use,False
user_0190,2025-01,Intermediate,True
user_0600,2025-07,Advanced,True
user_0354,2025-02,Beginner,True
user_0072,2025-09,Beginner,True
user_0550,2025-05,Basic,True
user_0037,2025-10,Basic,True
user_0111,2025-01,Basic,True
user_0285,2025-02,Beginner,True
user_0378,2025-11,Advanced,True
user_0260,2025-06,Basic,True
user_0418,2025-10,Sleeper,False
user_0426,2025-11,Basic,True
user_0533,2025-12,No Use,False
user_0147,2025-03,Beginner,True
user_0357,2025-11,Champion,True
user_0578,2025-12,Advanced,True
user_0632,2025-06,Beginner,True
user_0203,2025-06,Intermediate,True
user_0147,2025-10,Beginner,True
user_0627,2025-08,Basic,True
user_0378,2025-07,Advanced,True
user_0436,2025-04,Beginner,True
user_0252,2025-04,Intermediate,True
user_0602,2025-09,No Use,False
user_0164,2025-06,Beginner,True
user_0310,2025-10,Intermediate,True
user_0423,2025-07,Advanced,True
user_0102,2025-11,Beginner,True
user_0034,2025-10,Intermediate,True
user_0775,2025-09,Basic,True
user_0007,2025-05,Basic,True
user_0309,2025-01,Sleeper,False
user_0138,2025-04,Basic,True
user_0090,2025-11,Intermediate,True
user_0233,2025-10,Beginner,True
user_0548,2025-12,Basic,True
user_0796,2025-02,Sleeper,False
user_0395,2025-12,No Use,False
user_0650,2025-06,Intermediate,True
user_0717,2025-07,Intermediate,True
user_0779,2025-01,Sleeper,False
user_0231,2025-12,No Use,False
user_0027,2025-01,Intermediate,True
user_0038,2025-08,Basic,True
user_0658,2025-12,Basic,True
user_0091,2025-05,Intermediate,True
user_0710,2025-04,Beginner,True
user_0724,2025-12,Basic,True
user_0071,2025-09,Basic,True
user_0335,2025-01,Beginner,True
user_0720,2025-07,Sleeper,False
user_0090,2025-10,Intermediate,True
user_0667,2025-04,Basic,True
user_0653,2025-03,Beginner,True
user_0564,2025-08,Basic,True
user_0254,2025-02,Basic,True
user_0568,2025-02,No Use,False
user_0491,2025-07,Intermediate,True
user_0747,2025-02,Beginner,True
user_0443,2025-02,Beginner,True
user_0664,2025-08,Beginner,True
user_0304,2025-01,Beginner,True
user_0343,2025-08,Basic,True
user_0592,2025-03,Beginner,True
user_0793,2025-12,Intermediate,True
user_0061,2025-12,No Use,False
user_0141,2025-10,Sleeper,False
user_0149,2025-07,Advanced,True
user_0784,2025-05,Intermediate,True
user_0474,2025-11,No Use,False
user_0055,2025-05,Basic,True
user_0540,2025-03,Beginner,True
user_0248,2025-07,Basic,True
user_0549,2025-06,Sleeper,False
user_0577,2025-08,No Use,False
user_0615,2025-12,Basic,True
user_0328,2025-11,Intermediate,True
user_0036,2025-10,Sleeper,False
user_0566,2025-04,Intermediate,True
user_0734,2025-10,Advanced,True
user_0368,2025-07,Advanced,True
user_0101,2025-01,Advanced,True
user_0382,2025-09,Sleeper,False
user_0028,2025-02,Basic,True
user_0642,2025-08,No Use,False
user_0215,2025-10,Beginner,True
user_0170,2025-11,No Use,False
user_0289,2025-08,Advanced,True
user_0637,2025-04,Basic,True
user_0402,2025-11,No Use,False
user_0364,2025-08,Sleeper,False
user_0021,2025-03,No Use,False
user_0769,2025-02,Basic,True
user_0387,2025-08,Sleeper,False
user_0722,2025-02,Intermediate,True
user_0428,2025-11,Intermediate,True
user_0790,2025-06,Beginner,True
user_0239,2025-02,No Use,False
user_0520,2025-03,Intermediate,True
user_0326,2025-06,Advanced,True
user_0211,2025-06,Advanced,True
user_0420,2025-04,Beginner,True
user_0008,2025-05,Basic,True
user_0010,2025-11,Basic,True
user_0778,2025-04,Beginner,True
user_0041,2025-04,Advanced,True
user_0145,2025-10,Basic,True
user_0577,2025-06,Beginner,True
user_0215,2025-05,Basic,True
user_0276,2025-03,Beginner,True
user_0686,2025-09,Sleeper,False
user_0642,2025-06,Intermediate,True
user_0131,2025-05,Beginner,True
user_0320,2025-06,Intermediate,True
user_0751,2025-03,Sleeper,False
user_0517,2025-09,Advanced,True
user_0074,2025-04,Sleeper,False
user_0798,2025-08,Intermediate,True
user_0640,2025-09,Basic,True
user_0334,2025-05,Basic,True
user_0517,2025-03,Basic,True
user_0428,2025-05,Intermediate,True
user_0332,2025-09,No Use,False
user_0404,2025-06,No Use,False
user_0174,2025-08,Intermediate,True
user_0673,2025-02,Champion,True
user_0360,2025-12,No Use,False
user_0761,2025-10,Intermediate,True
user_0147,2025-06,Beginner,True
user_0484,2025-05,Basic,True
user_0586,2025-04,Advanced,True
user_0047,2025-03,Basic,True
user_0304,2025-02,Beginner,True
user_0484,2025-10,Beginner,True
user_0096,2025-10,Advanced,True
user_0298,2025-06,Advanced,True
user_0271,2025-05,No Use,False
user_0707,2025-09,Sleeper,False
user_0349,2025-05,No Use,False
user_0034,2025-07,Intermediate,True
user_0466,2025-11,Intermediate,True
user_0016,2025-09,Intermediate,True
user_0354,2025-04,Beginner,True
user_0577,2025-01,Intermediate,True
user_0317,2025-02,Intermediate,True
user_0673,2025-06,Champion,True
user_0707,2025-02,Basic,True
user_0273,2025-12,Intermediate,True
user_0491,2025-01,Basic,True
user_0363,2025-02,Basic,True
user_0770,2025-08,Beginner,True
user_0558,2025-10,Beginner,True
user_0083,2025-06,Beginner,True
user_0442,2025-07,Basic,True
user_0138,2025-02,Beginner,True
user_0572,2025-03,Beginner,True
user_0182,2025-01,Advanced,True
user_0595,2025-05,Intermediate,True
user_0016,2025-06,Intermediate,True
user_0797,2025-02,No Use,False
user_0088,2025-09,Basic,True
user_0127,2025-11,Basic,True
user_0569,2025-05,No Use,False
user_0331,2025-12,Basic,True
user_0619,2025-11,No Use,False
user_0043,2025-05,Basic,True
user_0339,2025-07,Champion,True
user_0489,2025-01,No Use,False
user_0287,2025-02,Intermediate,True
user_0656,2025-10,Sleeper,False
user_0639,2025-11,Beginner,True
user_0182,2025-03,Advanced,True
user_0118,2025-12,Basic,True
user_0714,2025-03,Basic,True
user_0686,2025-05,No Use,False
user_0371,2025-05,Beginner,True
user_0007,2025-04,Basic,True
user_0201,2025-08,Basic,True
user_0171,2025-10,Intermediate,True
ghost_07,2025-06,Beginner,True
user_0582,2025-04,Beginner,True
user_0637,2025-03,Basic,True
user_0451,2025-09,No Use,False
user_0699,2025-07,Sleeper,False
user_0229,2025-06,Basic,True
user_0069,2025-07,Advanced,True
user_0762,2025-08,Basic,True
user_0768,2025-12,Basic,True
user_0037,2025-07,Beginner,True
user_0485,2025-04,Advanced,True
user_0223,2025-11,Intermediate,True
user_0242,2025-10,Intermediate,True
user_0495,2025-06,Intermediate,True
user_0684,2025-07,Advanced,True
user_0646,2025-11,Basic,True
user_0417,2025-10,Basic,True
user_0792,2025-01,No Use,False
user_0312,2025-06,Beginner,True
user_0217,2025-07,Beginner,True
user_0100,2025-07,Intermediate,True
user_0063,2025-03,Sleeper,False
user_0091,2025-12,Sleeper,False
user_0291,2025-02,Basic,True
user_0707,2025-11,Champion,True
user_0203,2025-01,Advanced,True
user_0518,2025-08,No Use,False
user_0771,2025-07,Sleeper,False
user_0569,2025-10,No Use,False
user_0606,2025-11,Intermediate,True
user_0598,2025-04,Basic,True
user_0560,2025-12,Intermediate,True
user_0493,2025-07,Beginner,True
user_0727,2025-09,Advanced,True
user_0574,2025-05,Basic,True
user_0616,2025-08,Basic,True
user_0296,2025-02,No Use,False
user_0458,2025-09,Basic,True
user_0752,2025-01,No Use,False
user_0010,2025-09,Basic,True
user_0625,2025-04,No Use,False
user_0621,2025-05,Champion,True
user_0791,2025-07,Advanced,True
user_0272,2025-01,Sleeper,False
user_0611,2025-04,Intermediate,True
user_0685,2025-02,No Use,False
user_0042,2025-11,Beginner,True
user_0421,2025-12,No Use,False
user_0382,2025-10,No Use,False
user_0315,2025-04,Beginner,True
user_0714,2025-08,Intermediate,True
user_0247,2025-03,Sleeper,False
user_0516,2025-05,Sleeper,False
user_0566,2025-06,Intermediate,True
user_0504,2025-05,No Use,False
user_0715,2025-04,Intermediate,True
user_0765,2025-09,Advanced,True
user_0222,2025-04,Beginner,True
user_0502,2025-10,Beginner,True
user_0435,2025-01,Advanced,True
user_0780,2025-05,No Use,False
user_0448,2025-10,Beginner,True
user_0479,2025-03,No Use,False
user_0276,2025-11,Advanced,True
user_0030,2025-03,Advanced,True
user_0171,2025-11,Intermediate,True
user_0278,2025-06,Beginner,True
user_0779,2025-03,Sleeper,False
user_0242,2025-06,Advanced,True
user_0767,2025-10,Intermediate,True
user_0500,2025-06,No Use,False
user_0014,2025-07,Advanced,True
user_0322,2025-01,Beginner,True
user_0794,2025-08,No Use,False
user_0420,2025-12,Sleeper,False
user_0771,2025-11,Advanced,True
user_0252,2025-07,Intermediate,True
user_0419,2025-12,Sleeper,False
user_0178,2025-11,No Use,False
user_0103,2025-01,Basic,True
user_0233,2025-12,Sleeper,False
user_0173,2025-04,Basic,True
user_0411,2025-09,Beginner,True
user_0209,2025-10,Advanced,True
user_0714,2025-09,Intermediate,True
user_0525,2025-06,Basic,True
user_0020,2025-09,Beginner,True
user_0739,2025-04,Beginner,True
user_0327,2025-04,Beginner,True
user_0015,2025-01,Sleeper,False
user_0540,2025-04,Beginner,True
user_0643,2025-04,Advanced,True
user_0734,2025-07,Advanced,True
user_0117,2025-12,Advanced,True
user_0467,2025-06,Beginner,True
user_0181,2025-10,Beginner,True
user_0264,2025-01,Basic,True
user_0695,2025-12,Champion,True
user_0139,2025-12,No Use,False
user_0626,2025-04,Beginner,True
user_0087,2025-04,Beginner,True
user_0293,2025-01,Beginner,True
user_0488,2025-10,Beginner,True
user_0527,2025-08,Basic,True
user_0129,2025-05,Intermediate,True
user_0200,2025-11,No Use,False
user_0240,2025-07,Intermediate,True
user_0010,2025-05,Basic,True
user_0120,2025-04,Basic,True
user_0421,2025-04,Sleeper,False
user_0471,2025-12,Champion,True
user_0370,2025-10,Advanced,True
user_0787,2025-12,Beginner,True
user_0087,2025-03,Beginner,True
user_0685,2025-10,No Use,False
user_0571,2025-04,Basic,True
user_0301,2025-01,Advanced,True
user_0050,2025-01,Intermediate,True
user_0503,2025-01,Basic,True
user_0188,2025-11,No Use,False
user_0148,2025-04,Advanced,True
user_0286,2025-10,Basic,True
user_0102,2025-02,Beginner,True
user_0365,2025-03,No Use,False
user_0458,2025-07,Basic,True
user_0540,2025-09,Advanced,True
user_0041,2025-06,Intermediate,True
user_0285,2025-01,Beginner,True
user_0208,2025-07,Intermediate,True
user_0066,2025-08,Basic,True
user_0607,2025-06,Beginner,True
user_0197,2025-01,Beginner,True
user_0161,2025-10,Intermediate,True
user_0142,2025-07,Sleeper,False
user_0011,2025-07,Sleeper,False
user_0555,2025-02,Beginner,True
user_0216,2025-04,Advanced,True
user_0668,2025-12,Basic,True
user_0112,2025-04,Basic,True
user_0421,2025-05,Sleeper,False
user_0496,2025-12,No Use,False
user_0123,2025-07,Sleeper,False
user_0668,2025-01,Intermediate,True
user_0085,2025-08,Intermediate,True
user_0400,2025-08,Sleeper,False
user_0499,2025-06,Beginner,True
user_0009,2025-09,Sleeper,False
user_0744,2025-03,Beginner,True
user_0504,2025-03,Sleeper,False
user_0484,2025-12,Intermediate,True
user_0254,2025-06,Advanced,True
user_0093,2025-03,No Use,False
user_0305,2025-07,Basic,True
user_0231,2025-10,No Use,False
user_0577,2025-07,No Use,False
user_0351,2025-04,Intermediate,True
user_0758,2025-10,Beginner,True
user_0277,2025-09,Beginner,True
user_0306,2025-08,Beginner,True
user_0451,2025-12,No Use,False
user_0185,2025-11,Basic,True
user_0333,2025-09,Intermediate,True
user_0345,2025-12,Basic,True
user_0074,2025-01,No Use,False
user_0206,2025-07,Advanced,True
user_0634,2025-04,Intermediate,True
user_0549,2025-09,Beginner,True
user_0163,2025-09,Beginner,True
user_0063,2025-10,Basic,True
user_0093,2025-12,Beginner,True
user_0515,2025-04,Champion,True
user_0649,2025-02,Basic,True
user_0288,2025-05,Beginner,True
user_0273,2025-10,Intermediate,True
user_0163,2025-07,Beginner,True
user_0627,2025-02,Beginner,True
user_0283,2025-10,Advanced,True
user_0649,2025-03,Basic,True
user_0745,2025-11,Intermediate,True
user_0423,2025-06,Advanced,True
user_0229,2025-10,Intermediate,True
user_0159,2025-09,Champion,True
user_0129,2025-03,Intermediate,True
user_0048,2025-08,Sleeper,False
user_0336,2025-02,Advanced,True
user_0320,2025-01,Basic,True
user_0097,2025-12,Basic,True
user_0033,2025-08,Champion,True
user_0198,2025-04,Basic,True
user_0508,2025-04,Beginner,True
user_0304,2025-07,Basic,True
user_0473,2025-06,Intermediate,True
user_0050,2025-06,Beginner,True
user_0798,2025-03,Basic,True
user_0293,2025-11,Beginner,True
user_0345,2025-02,Basic,True
user_0419,2025-04,No Use,False
user_0282,2025-05,Sleeper,False
user_0106,2025-05,Intermediate,True
user_0773,2025-09,Intermediate,True
user_0397,2025-04,Sleeper,False
user_0538,2025-06,Basic,True
user_0697,2025-07,Intermediate,True
user_0501,2025-06,Sleeper,False
user_0011,2025-10,No Use,False
user_0580,2025-09,Basic,True
user_0485,2025-10,Basic,True
user_0180,2025-09,Beginner,True
user_0460,2025-07,Beginner,True
user_0700,2025-04,Beginner,True
user_0074,2025-12,No Use,False
user_0731,2025-07,Intermediate,True
user_0710,2025-10,Beginner,True
user_0129,2025-10,Intermediate,True
user_0449,2025-12,Beginner,True
user_0748,2025-07,No Use,False
user_0737,2025-04,Advanced,True
user_0242,2025-07,Advanced,True
user_0701,2025-11,No Use,False
user_0590,2025-04,Basic,True
user_0247,2025-12,Beginner,True
user_0475,2025-05,Intermediate,True
user_0484,2025-01,Beginner,True
user_0788,2025-07,Basic,True
user_0728,2025-01,Sleeper,False
user_0556,2025-11,Sleeper,False
user_0342,2025-09,Basic,True
user_0060,2025-05,Intermediate,True
user_0312,2025-10,Intermediate,True
user_0261,2025-07,No Use,False
user_0650,2025-12,Basic,True
user_0552,2025-07,Sleeper,False
user_0516,2025-01,Advanced,True
user_0095,2025-04,Beginner,True
user_0763,2025-08,Intermediate,True
user_0250,2025-07,No Use,False
user_0158,2025-01,Sleeper,False
user_0098,2025-10,Advanced,True
user_0194,2025-06,Basic,True
user_0794,2025-06,Beginner,True
user_0220,2025-05,Basic,True
user_0049,2025-08,Advanced,True
user_0788,2025-05,Beginner,True
user_0281,2025-03,Advanced,True
user_0090,2025-07,Basic,True
user_0346,2025-10,Intermediate,True
user_0153,2025-08,No Use,False
user_0017,2025-10,Intermediate,True
user_0197,2025-02,Beginner,True
user_0242,2025-01,Basic,True
user_0225,2025-10,Beginner,True
user_0602,2025-01,Intermediate,True
user_0231,2025-01,No Use,False
user_0759,2025-01,Sleeper,False
